"","Player","Pos","Age","Tm.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Season","Cluster","third2$VORP","Tm.y","Index","Image"
"346","Kevin Martin","SG","32","TOT","2.8","7.6","0.372","0.9","2.5","0.36","1.9","5.1","0.378","0.431","2.8","3.1","0.89","0.3","1.7","2","1.1","0.5","0.1","1","1.5","9.3","0.52","0.325","0.411","1.5","10","5.8","8.2","1.2","0.2","9.8","22.6","2016","Sharpshooters",-0.7,"MIN","martike02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/martike02.jpg"
"347","Kevin Martin","SG","32","TOT","2.8","7.6","0.372","0.9","2.5","0.36","1.9","5.1","0.378","0.431","2.8","3.1","0.89","0.3","1.7","2","1.1","0.5","0.1","1","1.5","9.3","0.52","0.325","0.411","1.5","10","5.8","8.2","1.2","0.2","9.8","22.6","2016","Sharpshooters",-0.7,"SAS","martike02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/martike02.jpg"
"348","Kevin Martin","SG","32","MIN","3.2","8.6","0.377","1","2.6","0.369","2.3","5.9","0.381","0.434","3.2","3.6","0.88","0.3","1.8","2.1","1.2","0.4","0","1.1","1.7","10.6","0.523","0.308","0.425","1.4","9.8","5.6","8.8","1","0.1","9.4","23.5","2016","Wing Scorers",-0.7,"TOT","martike02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/martike02.jpg"
"349","Kevin Martin","SG","32","MIN","3.2","8.6","0.377","1","2.6","0.369","2.3","5.9","0.381","0.434","3.2","3.6","0.88","0.3","1.8","2.1","1.2","0.4","0","1.1","1.7","10.6","0.523","0.308","0.425","1.4","9.8","5.6","8.8","1","0.1","9.4","23.5","2016","Wing Scorers",-0.7,"MIN","martike02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/martike02.jpg"
"350","Kevin Martin","SG","32","MIN","3.2","8.6","0.377","1","2.6","0.369","2.3","5.9","0.381","0.434","3.2","3.6","0.88","0.3","1.8","2.1","1.2","0.4","0","1.1","1.7","10.6","0.523","0.308","0.425","1.4","9.8","5.6","8.8","1","0.1","9.4","23.5","2016","Wing Scorers",-0.7,"SAS","martike02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/martike02.jpg"
"351","Kevin Martin","SG","32","SAS","1.9","5.3","0.353","0.7","2.1","0.333","1.2","3.3","0.365","0.418","1.8","1.9","0.933","0.3","1.6","1.8","0.8","0.6","0.1","0.8","0.9","6.2","0.504","0.388","0.353","1.8","10.6","6.3","6.4","1.8","0.6","11.7","19.5","2016","Sharpshooters",0,"TOT","martike02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/martike02.jpg"
"352","Kevin Martin","SG","32","SAS","1.9","5.3","0.353","0.7","2.1","0.333","1.2","3.3","0.365","0.418","1.8","1.9","0.933","0.3","1.6","1.8","0.8","0.6","0.1","0.8","0.9","6.2","0.504","0.388","0.353","1.8","10.6","6.3","6.4","1.8","0.6","11.7","19.5","2016","Sharpshooters",0,"MIN","martike02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/martike02.jpg"
"353","Kevin Martin","SG","32","SAS","1.9","5.3","0.353","0.7","2.1","0.333","1.2","3.3","0.365","0.418","1.8","1.9","0.933","0.3","1.6","1.8","0.8","0.6","0.1","0.8","0.9","6.2","0.504","0.388","0.353","1.8","10.6","6.3","6.4","1.8","0.6","11.7","19.5","2016","Sharpshooters",0,"SAS","martike02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/martike02.jpg"
"354","Khris Middleton","SG","24","MIL","6.4","14.5","0.444","1.8","4.6","0.396","4.6","9.9","0.466","0.507","3.5","3.9","0.888","0.6","3.3","3.8","4.2","1.7","0.2","2.3","2.6","18.2","0.56","0.316","0.273","1.8","10.2","6","18.9","2.3","0.6","12.3","23","2016","Ball Handlers",1.9,"MIL","middlkh01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/middlkh01.jpg"
"355","Kirk Hinrich","PG","35","TOT","1.1","2.8","0.38","0.5","1.3","0.387","0.5","1.5","0.373","0.473","0.3","0.3","0.938","0.2","1.3","1.5","1.6","0.3","0","0.7","1.4","3","0.504","0.481","0.124","1.4","10.2","5.9","16","1.2","0.2","18.1","11.6","2016","Sharpshooters",-0.3,"CHI","hinriki01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hinriki01.jpg"
