"","Player","Pos","Age","Tm.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Season","Cluster","second2$VORP","Tm.y","Index","Image"
"555","Toni Kukoc","SF","27","CHI","4.8","9.7","0.49","1.1","2.7","0.403","3.7","7","0.524","0.546","2.5","3.3","0.772","1.4","2.6","4","3.5","0.8","0.3","1.4","1.9","13.1","0.589","0.274","0.339","6.4","11.5","8.9","21","1.6","1","11.2","21.4","1996","Swingmen",3.5,"CHI","kukocto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/kukocto01.jpg"
"556","Tony Dumas","SG","23","DAL","4.1","9.8","0.418","1.1","3.1","0.357","3","6.7","0.446","0.475","2.3","3.8","0.599","0.9","0.9","1.7","1.5","0.6","0.2","1.1","1.9","11.6","0.505","0.316","0.392","4.4","5.1","4.7","13.5","1.6","0.7","9.1","27.4","1996","Swingmen",-0.5,"DAL","dumasto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/dumasto01.jpg"
"557","Tony Massenburg","PF","28","PHI","3.8","7.9","0.483","0","0.1","0","3.8","7.8","0.489","0.483","2.3","3.1","0.739","2.5","3.7","6.2","0.4","0.5","0.4","1.3","2.4","9.9","0.535","0.013","0.39","10.5","16.4","13.4","2.6","1","1","12.1","17.5","1996","Bruiser Big Men",-0.7,"TOT","masseto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/masseto01.jpg"
"558","Tony Massenburg","PF","28","PHI","3.8","7.9","0.483","0","0.1","0","3.8","7.8","0.489","0.483","2.3","3.1","0.739","2.5","3.7","6.2","0.4","0.5","0.4","1.3","2.4","9.9","0.535","0.013","0.39","10.5","16.4","13.4","2.6","1","1","12.1","17.5","1996","Bruiser Big Men",-0.7,"TOR","masseto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/masseto01.jpg"
"559","Tony Massenburg","PF","28","PHI","3.8","7.9","0.483","0","0.1","0","3.8","7.8","0.489","0.483","2.3","3.1","0.739","2.5","3.7","6.2","0.4","0.5","0.4","1.3","2.4","9.9","0.535","0.013","0.39","10.5","16.4","13.4","2.6","1","1","12.1","17.5","1996","Bruiser Big Men",-0.7,"PHI","masseto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/masseto01.jpg"
"560","Tony Massenburg","PF","28","TOT","4","8","0.495","0","0.1","0","4","7.9","0.499","0.495","2.1","2.9","0.707","2.4","4.2","6.5","0.6","0.5","0.4","1.4","2.6","10","0.538","0.007","0.363","10","18.3","14.1","3.4","1","1","12.7","17.4","1996","Bruiser Big Men",-1.2,"TOT","masseto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/masseto01.jpg"
"561","Tony Massenburg","PF","28","TOT","4","8","0.495","0","0.1","0","4","7.9","0.499","0.495","2.1","2.9","0.707","2.4","4.2","6.5","0.6","0.5","0.4","1.4","2.6","10","0.538","0.007","0.363","10","18.3","14.1","3.4","1","1","12.7","17.4","1996","Bruiser Big Men",-1.2,"TOR","masseto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/masseto01.jpg"
"562","Tony Massenburg","PF","28","TOT","4","8","0.495","0","0.1","0","4","7.9","0.499","0.495","2.1","2.9","0.707","2.4","4.2","6.5","0.6","0.5","0.4","1.4","2.6","10","0.538","0.007","0.363","10","18.3","14.1","3.4","1","1","12.7","17.4","1996","Bruiser Big Men",-1.2,"PHI","masseto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/masseto01.jpg"
"563","Tony Massenburg","PF","28","TOR","4.2","8.2","0.51","0","0","0","4.2","8.2","0.51","0.51","1.8","2.7","0.662","2.2","4.8","6.9","0.8","0.5","0.4","1.5","2.8","10.1","0.541","0","0.332","9.4","20.7","15","4.4","1","1","13.5","17.4","1996","Bruiser Big Men",-0.5,"TOT","masseto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/masseto01.jpg"
"564","Tony Massenburg","PF","28","TOR","4.2","8.2","0.51","0","0","0","4.2","8.2","0.51","0.51","1.8","2.7","0.662","2.2","4.8","6.9","0.8","0.5","0.4","1.5","2.8","10.1","0.541","0","0.332","9.4","20.7","15","4.4","1","1","13.5","17.4","1996","Bruiser Big Men",-0.5,"TOR","masseto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/masseto01.jpg"
"565","Tony Massenburg","PF","28","TOR","4.2","8.2","0.51","0","0","0","4.2","8.2","0.51","0.51","1.8","2.7","0.662","2.2","4.8","6.9","0.8","0.5","0.4","1.5","2.8","10.1","0.541","0","0.332","9.4","20.7","15","4.4","1","1","13.5","17.4","1996","Bruiser Big Men",-0.5,"PHI","masseto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/masseto01.jpg"
"566","Tony Smith","SG","27","TOT","2","4.6","0.423","0.6","2","0.328","1.3","2.7","0.494","0.493","0.5","0.8","0.609","0.5","1.1","1.6","2.6","0.6","0.2","1.1","1.8","5.1","0.506","0.423","0.168","3.8","7.9","5.9","25.6","2.1","0.8","18.3","17.2","1996","Wing Scorers",0.1,"MIA","smithto02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/smithto02.jpg"
"567","Tony Smith","SG","27","TOT","2","4.6","0.423","0.6","2","0.328","1.3","2.7","0.494","0.493","0.5","0.8","0.609","0.5","1.1","1.6","2.6","0.6","0.2","1.1","1.8","5.1","0.506","0.423","0.168","3.8","7.9","5.9","25.6","2.1","0.8","18.3","17.2","1996","Wing Scorers",0.1,"TOT","smithto02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/smithto02.jpg"
